NO,Sentence,ID,book_name
1,آذربايجان آغيز ادبياتي‌نين ان يايغين اؤرنك‌لريندن اولان آتالار سؤزو ائليميزين بديعي سؤز ياراديجيليغينا درين ائتگي بوراخميشدير.,f1,book1
15,آتالار سؤزو، آغيز ادبياتيميزين باشقا اؤرنك‌لرينه ده، اؤز ايشيغيني سالاراق، او اثري داهادا گؤزللشديرميشدير.,f1,book1
29,بوسيرادا، آتا ـ بابا مثللرينين و يا خود آتالار سؤزونون رولو دقت مركزينده دورور آتالار سؤزو آذربايجانين تكجه ادبيات و مدنيت ساحه سينده دئييل، اجتماعي و سياسي مؤضوعلاري عكس ائتديرهن مفكورهلرده ده اؤزعكسين تاپميشدير.,f1,book1
43,وار خبردهكي، آدام بيرزادي آختاردي تاپار.,f1,book1
57,ـ اگر منيم پولوم اولماسا بونون نهيي ياخشي دير:,f1,book1
71,منجه اونون آديني دونيايا يايان، اونو اؤلمزليگه قوووشدوران سبب وارسا، اودا اونون آذربايجان فولكلوروندان و شفاهي سؤز خزينه سيندن باجارديغي قدهر استفاده ائتمهسي دير.,f1,book1
85,آنا حاققي تانري حاققي دير، دئيين بير ائل مثليني، اؤز بديعي مصراعلاريندا سسلهنديرهرك يازير:,f1,book1
99,سؤزو آداما بير دفعه دئيه‌رلر.,f1,book1
113,دللـه‌ک نبيني گؤره‌ن کيمي تانيير.,f1,book1
127,آمما کور اوغلودا او يوخ ايدي، اودا يالان دانيشماق، سؤزو اؤز خئيرينه يوزماماق.,f1,book1
141,بو بير بيت شعر ده ياديندان چيخماسين دئيه هميشه ديلينده زمزمه ائديرميش.,f1,book1
155,بوسؤالين جوابيندا دئمك اولاركي، هم آتالار سؤزونده و هم ده دئييملرده استعاره، ايهام، مجاز و كنايه مؤجوددور.,f1,book1
169,بيريسي اؤزونو بوش يئره و كيچيك مسئلهلرده خطره سالان زمان دئييهلر، او ائله بيل جانيندان دويويدور.,f1,book1
183,ـ نه چوخ ايشله‌ييرسن آي حيدر ؟,f1,book1
197,ـ تئز گليب، تئز گئده‌ن قوناغين قاداسين آليم.,f1,book1
211,بو گونه كيمي سنين كي ديلين ياخشي سؤزلره عادت ائله‌مه‌ييب هئچ بوندان سونرادا ائله‌مز.,f1,book1
225,تدريجا ً بو ايفاده عمومي‌له‌شرك يوخاريداكی معنانی كسب ائتميشدير.,f1,book1
239,قديم انسان سؤزو اشيادان آييرا بيلميردی.,f1,book1
253,جانيم، روسون بيری منيم نييه آرواديمين آدينی بيلسين ؟,f1,book1
267,دئمه لی، تركيبينده كی سؤزو نتيجه‌سينده بدن عضو ايله اوْمونيم نسبتينده دير.,f1,book1
281,قديم و يئنی تورك ديللرينده بو سؤزون ايدی، ايده، ايزه، اييه، ا َيه، يييه ، ايبه، اَبه ، ايئ وسايره.,f1,book1
295,اوْدئمك ديركی، بودنيادا شخصين بوتون حياتين، معنويتينی، تانری اداره ائديب استقانتلنديرير.,f1,book1
