NO,Sentence,ID,book_name
10,دؤيوشلرده، باريشلاردا، چيخيشلاردا، ايش- امك دونياسيندا، علم- ترقي يوللاريندا اؤزونو گؤستره‌ن روحلاري جيلالانديران بو سؤز اينجي‌لري، عصردن- عصره آتلاياراق، اؤز طراوتيني الدن وئرمه‌ميشدير.,m4,book1
24,يئري گلديكده بير مسئله‌يه توخونماغي مصلحت گؤردوم.,m4,book1
38,محض بونا گؤرهده اونلارين فارس ديلينده يازديقلاري اثرلر ديللر از بري اولاراق، كتابلار، ايسه دفعهلرله ايشيق اوزوگؤرموش و همين اثرلرين اوزهرينده گئنيش تدقيقاتلار آپاريلميشدير.,m4,book1
52,بير راديو تماشا سيندا گلديگي كيمي:,m4,book1
66,ـ تئز گليب، تئز گئدهن قوناغين قاداسين آليم.,m4,book1
80,بيـرده بلالي بــاش نئچون باشينا سوپورگه باغلاسين بـؤركو قويــان بـاشاگرك بؤركونهده بير ياراشا مثلدي يئرده برك اولور، اؤكوز ـ اؤكوزدن اينجيير، هـي دار يتليــر ايپين قيــرا يــولداشلا بير ساواشا.,m4,book1
94,سؤزوار گلر کئچر ـ سؤز وار ازه‌ر کئچر.,m4,book1
108,سؤز آت يئره اؤز صاحبي گؤتوره‌ر.,m4,book1
122,اونا گؤره ده گيزير اوغلو مصطفي بگ، کوراوغلو يا تکليف ائديرکي، اونونلا گوله‌شسين.,m4,book1
136,دئيير گونلرين بيرينده بير پادشاها آناسي مصلحت گؤروب دئيير.,m4,book1
150,آذربايجان شفاهي ائل ادبياتينا منسوب اولان دئييم لرباره ده، بيز لرده لازيمي قدهر آراشديرمالار آپاريلماييب.,m4,book1
164,الهي گؤزه ليكدن حئيران قالاندا دئييرلر:,m4,book1
178,اونا گؤره كي، يئرينده، واختيندا، مقاميندا دئييلير، هدفي دوزنيشانا وورور.,m4,book1
192,ـ‌ ـ يوخ سني مطلق حكيمه گؤسترمك لازيم دير، اينانانين منه سنين وضعيتن مني مطلق ناراحات ائله‌ييبدير، آخي اوره‌ييم يانير سنه.,m4,book1
206,آي عمي بوراسيني، اؤزومده بيلميره‌م آمما حئيوانا جان دئمه‌ييم اودوركي، ديليم، آجي سؤزلره، ياوا كلاملارا اؤيرنمه‌سين.,m4,book1
220,لاكين توپ سسی چاتمايان وساعتی اولمايان اوزاق يئرلرده واختي نئجه بيليرديلر ؟,m4,book1
234,قهرمانليق گؤسترديكده‌ن، دشمن اؤلدورمكده‌ن سوْنرا آد صاحبي اوْلا بيليرديلر.,m4,book1
248,قيزيل پوْلو، توستو پولو، دئيمه وئر پول.,m4,book1
262,ماحمود كاشغرلي‌نين ديوان لغتينده ايفاده‌سی آد وئرمك معناسيندا دیر.,m4,book1
276,لاكين و مفهوملاری آراسيندا هئچ بير منطقی علاقه يوخدور وبو سؤز لر عادتاً بير- بير ايله قارشيلاشديريلمير.,m4,book1
290,باشقا سؤزله، آيدين شكلينده گؤرونمك، اوزونده‌ن معلوم اوْلماق، گيز‌له‌ديلمه‌سی ممكن اوْلماماق، عادتاً انكار قؤرمادا ايشله‌ديلير.,m4,book1
304,جعفر جبارلي‌نين پيئسينده بئله بير ديالوق واردير:,m4,book1
318,هابئله قديم هيند، چين اساطيرلرينده يئر آنا حساب ائديلير.,m4,book1
332,آنا وطن، آنام آذربايجان، آنا يورد.,m4,book1
346,محمد بيلی كيتابيندا يازيركی، رشيدالدّينين اثرينده گؤستريلديگينه گؤره عمر خيام، حسن صباح و نظام الملك مكتب يولداشلاری اوْلموشلار.,m4,book1
360,دا كافرلر سالور قازانی ائتديكده اوْنوبير قويويا ساليرلار.,m4,book1
374,مثلا ً، سئوگی حيسی اوره‌كله پاخيلليق حيسی قارينلا و سايره.,m4,book1
388,كلاسيك ادبياتدا بايقوش بدبختليك، فلاكت رمزیدير.,m4,book1
402,ايندی بايقوشو قوْروماق مقصدی ايله اوْنون آدی بين‌الخالق قيرميزی كيتابا سالنميشدير».,m4,book1
416,- دئيه بوژانرا اوْلان بؤيوك احتياجی درينده‌ن دويورو اجتماعی ساتيرانين باريتينی هميشه قوروساخلاماغا چاليشير».,m4,book1
430,آخی نييه اوْ گون من دوُيماديم، دوُيا بيلمه‌ديم كی، سعادتيمی آپاريرلار.,m4,book1
444,محو ائتمك، آرادان چيخار ماق، خرجله‌ييب قورتارماق.,m4,book1
458,دئمه‌لی واختی ايله آزاد ائديلن قوللار شخصين اطرافيندا دؤنور، دوْلانير،‌ چئويريليردی.,m4,book1
472,نظردن كئچير ديگيميز اوچ ايفاده‌نين اساسيندا ايفاده‌سی ده يارانميشدير.,m4,book1
486,منیم حقیم دئيیل دؤوره ده‌کیلرگولوشورلر.,m4,book1
500,او توو دابانا دئيیب اؤز ولایت‌لرینه گلیر.,m4,book1
514,آللاه گؤره‌سن بونه سیردیر هر یاندان بو سس یوکسه‌سیر.,m4,book1
528,اسکندر یومشالدیغینی گؤره‌ن وزیر اونا دئییر:,m4,book1
542,سونرا دوروب، داغلارین ایتی داشلارینی یارا- یارا ائوینه گلدی.,m4,book1
556,اویولدا گئده-گئده فیکیرله‌شیب اؤز- اؤزونه دئيیردی:,m4,book1
570,واخت اؤتور، اکین یئتیشنده اوغلان آتاسینی اکین یئرینه آپارییر.,m4,book1
584,هر ایکیسی‌نین ده اؤزونه گؤره لذتی و دادی واردیر.,m4,book1
598,روایت گؤره حضرت علی پیغمبر زامانی کافرلرله جنگ ائله‌مک اوچون قوشون فرمانده‌لیگینه تعیین اولمودو.,m4,book1
612,احمد خئیلی باخاندان سونرا، یئمک واختی یادینا دوشوب، ائوه قایتدی.,m4,book1
626,تنبل احمد اوّل باشلادی میلچک‌لری اؤلدورمه‌یه.,m4,book1
640,احمد آیاغا قالخیب، سؤز- سودان سونرا دیوه دئدی:,m4,book1
654,کیچیک قارداش قاباغا یئرییب، باشینا گلن احوالاتی، قارداشلارینا دئدی.,m4,book1
668,تنبل احمد گلیشیندن جانا دویان دیولر بو قرارا گلدیلرکی، احمد گئجه یاتاندا بؤیوک بیر داش گتیریب، اونون باشینا سالیب اؤلدورسونلر.,m4,book1
682,دیولرده احمدین بو ایشیندن راضی قالیب، تئز گئدیب، بیر خورجون قیزیل، بیر دنه ده آت گتیردیلر.,m4,book1
696,اولار بیر نئچه مدت مئشه‌نین اوت- علفیندن یئییب، گؤللرینی اییله‌دیلر، چونکی بوردا نه دؤمک وار ایدی و نه ده ایشله‌مک.,m4,book1
710,بو سؤزه بیر نئچه دفعه تکرار ائتدیکدن سونرا، بیر آیری آدام اونا یاخینلاشاراق سوروشور:,m4,book1
724,علسگر بیر آز فیکیر‌له‌شیر، بونون جاوابینی تاپا بیلمیر، عاشیق اؤز- اؤزونه!,m4,book1
738,بلی اوشاق مندن سوروشوبکی، او نه دیرکی، هم بیلیریک و هم بیلمیریک.,m4,book1
752,آتاسی‌نین بو ایشیندن حیرت دویان اوشاق آتاسیندان سوروشور:,m4,book1
766,چوبان گئده‌ندن سونرا، بیر قوجا کیشی استراحت مقصدی ایله اورایا گلدی.,m4,book1
780,نهایت بیرگون احمد باغی نین اوچوق دیوارینی هؤرورموش، تئز کتخودانین آداملاری قوش قانادیندا بونو اونا یئتیریره‌لر.,m4,book1
794,بو آجیغی یادیندا ساخلایان احمد بیر گون، چؤلده بو کیشی‌نین اؤکوزون توتوب کسیر، کیشی کتخودایا شکایت ائله‌ییرکی، بو ایش احمدین ایشیدی، احمد گلیر بوینونا آلمیر، کتخودا دئییر:,m4,book1
808,نردوان اؤزوموندور، اؤزوم بیلره‌م هارا آپارام، هارا سؤيکه‌يم، سندن اجازه آلمای‌یام ؟,m4,book1
822,کیشی قبول ائله‌میر، دئییرکی، زحمت اولار.,m4,book1
836,تنبل تنبل دی شاه تنبل نه دیر ؟,m4,book1
850,او بیر آز دولانیر، گؤرورکی، هئچ اونون قاتیغینی دیندیره‌ن ده یوخدور.,m4,book1
864,اوو وار داغا میندیره‌ر، اوودا وار داغدان اندیره‌ر.,m4,book1
878,بلی یئنه بیر گئجه چؤلده گئدیردیم، گؤردوم آی دوشوب یئره.,m4,book1
892,ایل بوندان اول دئمه دین 5 :,m4,book1
906,کیشی ایچری گیریب، دوکتورا سلام وئریر و سونرا علیک آلیر.,m4,book1
920,اوغول من اؤلوب، گئتسه‌مده هئچ واخت بیر- بیریزدن آیریلمایین.,m4,book1
934,نه بیلیم کی دوستوندان قالان وار- دؤلتی اولار، داغیتماق ایسته‌ییرلر.,m4,book1
948,سؤزدن اهمیتی اوچون زنگین شفاهی ادبیاتیمیزین بیر چوخ ساحه‌لرینده بو ایفاده اؤزه‌ل یئر توتموشدور.,m4,book1
962,کئچمیش‌لرین سؤزودور بئله روایت ائله‌ییرلرکی، ایکی ار- آرواد، عائله قوران واخت شرط کسیرلرکی، عؤمرلرینین سونوناقده‌ر بیر - بیرلرینین قئیدینه قالیب، همیشه جان دئییب- جان ائشیتسینلر.,m4,book1
976,بو آرواد دا دیلنچی‌يه بیر آز پای وئردی.,m4,book1
990,باجی من نه سایاق ائله‌ییم کی، اریم مندن راضی قالسین ؟,m4,book1
1004,گونلرین بیرینده دونیا گؤرموش بیر ائل آغ ساققالی، اؤز اوغلونون تربیه‌سیزلیینی، حؤرمت‌سیزلیک و غیر انسانی ایشلرینی گؤروب اونو دانالایاراق، دئییر:,m4,book1
1018,اوغول تاخت- تاجی باشینا قویوب امر ائدیرکی، فلان کنده، فلان نیشاندا، قوجالیب، بئلی ايیلمیش بیر کیشی وار.,m4,book1
1032,اوغلانلارین بیرینین آدی قارا و بیریسی ایسه ‌نظر ایمیش.,m4,book1
1046,سونرا هره اؤز یولونو توتوب، گئدیر.,m4,book1
1060,گئدين اوندان باغيش ايستهييب، يئنيدن دربارا گيترين.,m4,book1
1074,آمما زرنگ قادين اوتانيردي، ارينه دئسين كي، بو ياخشي دير يا قارداشي‌نين كؤينگي.,m4,book1
1088,حالوا ساتان ماغازاچي اوندان ايسته‌ييركي، بير آز اونونلا اوتوروب صحبت ائله‌سين و آزادا اولسا اونون معلوماتيندان فايدالانسين.,m4,book1
1102,دوغوردان دا، بو دونيا قالارقي دئييل، انسان بو دونيادا هميشه‌ليك قالمير، بلكه بو دونيا كؤرپو كيمي دير، اونا بئل باغلامايانلار تئزليكله سووشوب گئده رلر.,m4,book1
1116,چوخ ايشله‌سم گرك اوندا چوخ وئرگي وئره‌م.,m4,book1
1130,او قونشوسونون قاپيسيني دؤيوب، ايچري گيره‌نده گؤردو آيري بير قونشو بو ائودن اوغورلوق ائله‌يير.,m4,book1
1144,من هئچ كيمسه‌يه خيانت ائله‌مه‌ميشم.,m4,book1
1158,باشماقچي گؤردو آتا يئمك پولودا وئردي، آنجاق اونون آجليغيني هئچ يادينادا بئله دوشمه‌دي.,m4,book1
1172,باشماقچي‌دا يوندوغو قيلينجي چيخارديب، اونلاري باشينا انديردي.,m4,book1
1186,قديم زامانلارين بيرينده، عاشيق آدلي بير گنج وارايدي.,m4,book1
1200,يولون ياريسيندا اونا دوغرو گلن آتليني گؤردو.,m4,book1
1214,آتلي‌نين سؤزوندن هامي حيرتله‌ندي و هئچ بير نفرين دئمه‌يه سؤزو اولمادي.,m4,book1
1228,سن نه سيرتيق اوغلانسان، سندن بؤيوك آدام تاپيلمادي يوخسا ؟,m4,book1
1242,بيردن – بيره يادينا قورباغا وئره‌ن داش دوشدو.,m4,book1
1256,من سني آزاد ائديرم‌كي، منه وزير اولاسان.,m4,book1
1270,اونلاردا قاييديب، بيرينجي گروهون طالعينه راست گلديلر.,m4,book1
1284,اي اوغول ايندي منيم قوجاليق و سنين ده ايشله‌مه‌لي وقتيندير.,m4,book1
1298,همين گونده احمد، اربابين ايشچيسي اولاراق گؤزله‌يير كي، فيلان شئيي گتير.,m4,book1
1312,اؤزوده مين ايل قالسا بوردان آشاغي ائنمك مومكون اولماياجاق.,m4,book1
1326,ارباب قاباقكي كيمي بير گون بئله ايكي گون بئله احمده هئچ ايش بويورمور.,m4,book1
1340,ارباب حيله‌نين نئجه اولدوغونو بيلندن سونرا چيغيريب احمده دئيير:,m4,book1
1354,بير كيشينين قيزيل قانادلي، قيرميزي تاجلي خوروزو وارايميش.,m4,book1
1368,تولكي حضرت عاباسا آند ايچيركي، اونون بو ايشدن خبري يوخدي.,m4,book1
1382,ياخشيديركي، بيزدن روزي ايستهيهنين معاشيني تأمين ائدك و بئلهليكله اونو سيناياق.,m4,book1
1396,قوجانين بو سؤزلرين يونگول فيكير بير جاوان ائشيدير و اؤز – اؤزونه دئيير:,m4,book1
1410,بیری دئدی کی داها بیر زاد قالماییب تکجه بیر پالان قالیب.,m4,book1
1424,اوچ گونلوك محاصرهدن چيخميش شاه اسماعيل چوخ آجايدي، تئز اليني بوشقابين وسطيندن بير اوووج پيلو گؤتوروب آغزينا قويانادا آغزي يانير.,m4,book1
1438,بئله جه بو تورپاقدان پرورش تاپان ائلين بؤيوك اوغلو شاه خطايي دئينده، زياد خانين ـ‌ جواد خانين روحلارينين اؤنونده باش اَييريك، آللاه سيزه رحمت ائله‌سين.,m4,book1
1452,احمد كيشي نين سوالينا جاواب وئرمك اوچون نه قده‌ر سؤز دئييرسه، هئچ بيري دوز اولمور، آخيردا يالواريركي، نه ايسته‌ييرسن وئريم او سؤزودي.,m4,book1
1466,همان سؤزلردن بيري، سن اوخوماقدان قاييديب گلنده وئرديگيم سئوالين جاوابي، بيري ده آيري بير مصلحتلي سؤزدور.,m4,book1
1480,احمد كيشي‌دن راضي‌ليق ائله‌ييب باشلادي ائوينه قاييتماغا يولدا ايكي نابلد آداما راست گلدي.,m4,book1
1494,احمد خنجريني سريب ايسته‌دي آرواديني اؤلدورسون.,m4,book1
1508,بيري وار ايدي، بيري يوخ ايدي دونيا گؤرموش عاغيللي، علملي بير كيشي وار ايدي.,m4,book1
1522,كيشي پولو پنجره‌دن حيه‌طه آتيب دئدي:,m4,book1
1536,اونا گؤره آيين آخيرينده اوغلانا اون تومن زحمت حقي وئردي.,m4,book1
1550,شاهين اوغلو گئديب بير توربا نوغول آلدي.,m4,book1
1564,دئييلميشيندن آسيلي اولاراق ديل هم شيرين دير، هم ده آجي بو دانيشيقدان سونرا پادشاهين فياضا محبتي آرتدي.,m4,book1
1578,بودا اونون احتياط‌سيزليغي‌ني گؤسته‌رير.,m4,book1
1592,ديواردان دا بير خريطه آسيليب شاه ماراقلانيب قاپيني دؤيدو.,m4,book1
1606,مني تركينه آل – دئيه شر خواهش ائله‌دي.,m4,book1
1620,بارماغي قازانا ساليب خوره‌يين دادينا باخدي.,m4,book1
1634,آمما منه يالنيز ايلخي داكي، بالاجا كوره‌ن داييچا چاتا بيلر.,m4,book1
1648,خئير كومايا گليب چيخماغيني، وحشي حئيوانلارين صحبتيني ائشيتدييني و اونون سايه‌سينده وار – دؤولته چاتديغيني ناغيل ائله‌دي.,m4,book1
1662,او باخيب گؤردوكي، يولون قيراغيندا بير كيشي تك جانينا بؤيوك بير زمي‌ايله اللـه‌شير.,m4,book1
1676,محمد بو ايشي اؤز عهده‌سينه گؤتوروب، چوبانليغا مشغول اولدو.,m4,book1
1690,قوش دئيه‌ن كيمي، اوزوكدن هرنه ايسته‌ديكده او وئردي.,m4,book1
1704,چوخ گؤتور – قويدوقدان سونرا بو قرارا گلديلركي، محمدي چاغيريب و سئحيرلي اوزويو ايسته‌سينلر.,m4,book1
1718,اگر بو سؤز دوز اولسا، من مين قيزيل سكه سنه وئره رم.,m4,book1
1732,آخيردا قول وزيري اؤلومله هده‌له‌يير.,m4,book1
1746,گناهلارين هاميسي سنده‌دير، گرك سني آساق.,m4,book1
