NO,Sentence,ID,book_name
4,بللي اولدوغو كيمي، ائليميزين مدني ياشاما آياق آتديغي آندان بئله، خالقيميز ديرلي سؤز اينجي‌لريني ايپه- ساپا دوزه‌رك، باشقالارينا چاتديرماقلا معنوي دونياميزا ايشيق سالميشلار.,f4,book1
18,عاليم‌لرين بو خصوصدا، بئله بير دوشونجه‌سي وار كي، آتالار سؤزونو عاشيق شعريندن گؤتوره‌نده، اوندا هئچ نه قالماز، سانكي قاتيغي چالخالاييب، ياغي آيراندان آييران كيمي.,f4,book1
32,من بو بارهده آرتيق سؤز آچماق نيتينده دئييلم، آنجاق ادبيات و مدنيتيميزين بينورهسي اولان شعر و نثر نمونهلريندن بير فاكت كيمي دانيشماق ايستهرديم.,f4,book1
46,بوكيمي مثللر كئچميش زامانلاردا چوخ ايشله‌نردي آنجاق ايندي آزايشله‌نير.,f4,book1
60,ده ييرمان اؤز ايشيني گؤرهر چاخ ـ چاخ باش آغريدار.,f4,book1
74,همين اثرده بعضاً بير پارچاشعرين ايچريسينده بيرنئچه آتالار سؤزو نمونهسينه راست گليريك:,f4,book1
88,بو نمونهلردن آيدين اولموشدور كي، آتالار سؤزونون آذربايجان جمهوريتي ادبياتينا اؤزل تأثير بوراخديغي كيمي بيزيم ادبياتيميزدا معين درجهده، تأثير باغيشلاميشدير.,f4,book1
102,سؤزون گوجو، قدرتي باره ده دئميشلر:,f4,book1
116,دللـه‌ک نبي‌دن پولدا آلمير، آمما اونا بئله بير سؤز تاپيشرير:,f4,book1
130,عاشيق شعرينين بارز خصوصيت‌لريندن بيري‌ده، سؤزون قيمتي و مقامي‌ني قورويوب ساخلاماقدان عبارتدير.,f4,book1
144,دللک مناسب بير زامان آختار يرکي شاهين اولگوجله داماريني قيرسين.,f4,book1
158,بيري حادثه اوزره، درين آجي و در دچكنده آنجاق، بوآجيليغي هئچ بيركيسمهيه بيلديرمهيند، دئييلر:,f4,book1
172,ياخشي كي، اونون اورهييني اله آلدين.,f4,book1
186,ـ باخ بئله گئتسه دوستلو غوموز پوزولاجاق!,f4,book1
200,گونلرين بير گونو شاه اسماعيل ختائي اؤز وزير- وكيل لري ايله بير كندين قيراغيندان كئچيرميش، گؤرور بير اوشاق يئره ييخيليب، دورمايان بير اوزون قولاغي تومارلايير و دئيير:,f4,book1
214,تدريجا ً ايفادسی هم ده آخشامین دوشمه ديگينی بيلديرمك اوچون ايشله‌نمه‌يه باشلانميشدير.,f4,book1
228,باش كسدي آد قازاندي معناسينا اويغون گلن بو ايفاده‌نين ، كيمی ايفاده‌لر، هابئله ، وسايره.,f4,book1
242,ناغيل و افسانه‌لرده قهرمانلارين بعضا ً اؤزآدلارينی گيز لتمه‌سی، رقيب دئمه‌مه‌سی بونو نلا علاقه‌دار دير.,f4,book1
256,آدين بو دفتره يازيلماسی، دوشمه‌سی بير بد‌بخت‌ليكديرسه ؟,f4,book1
270,لاكين هر حالدا بورا دا دا معناسي اوستوندور:,f4,book1
284,بعضی تورك ديللرينده فعلی خسته‌نی ساغلاتماق اوچون اوْنوسئون بير شخصين اؤزونو قوربان وئريب خسته ليگی اؤزونه آلماسي معناسيندا ايشله‌نمكده دير.,f4,book1
298,باخمازميسان آلنيندا كی يازييا، توْرپاق دوْلموش قولاغينا، گؤزونه.,f4,book1
312,بوردادا ‌نين يارا يا ملحم اوْلماسيندان بحث ائديلير.,f4,book1
