NO	Sentence	ID	book_name
13	آغيز ادبياتيميزين تملي اولان آتالارسؤزو كلاسيك ادبياتا اؤزه‌ل و مكمل تاثير گؤسترميشدير.	o1	book1
27	سؤزومون سونوندا بو كتابين عرصه‌يه گلمه‌سينده منه يارديمچي اولان قلم دوستوم احد فرهمندي قارداشيما تشكر ائديرم.	o1	book1
41	آتالار سؤزوندن آرتيق بهرهلهنن اؤزخالقي ايله سيخ علاقه ساخلايان اصلي زنگاندان اولان، حكيم هيدجينين آدي خصوصي حالدا سسلهنير چونكي او اؤز شعرلرينده آتا ـ بابا مثللريني اولدوقجا منيمسه ميش و گئنيش بير صورتده اوندان استفاده ائتميشدير:	o1	book1
55	الله بو قديم كيشيلره غني ـ غني رحمت ائلهسين.	o1	book1
69	ـ عاغيللي آدام عاغلينا، عاغيلسيز آدام ايسه آياغينا گووهنر.	o1	book1
83	اوسازيمين سؤزو كتابيني دده قورقورد بويلارينا حصر ائتمكله، ائل آراسيندا بؤيوك شهرته مالك اولموشدور.	o1	book1
97	سؤز وار ايش بيتيره‌ر، سوزده وار باش ايتيره‌ر.	o1	book1
111	نبي بير گون قونشو کندلرين بيرينده بير دلـله‌يين يانيندا باشيني قيخديرمالي اولور.	o1	book1
125	کور اوغلو سويو سوزولموش حالدا چنلي بئله دؤنور.	o1	book1
139	شاه اؤلکه‌نين سؤز صرافلاريندان بيريني چاغيرير و اوندان سؤز ـ اؤير نمه‌يه باشلايير.	o1	book1
153	دئييملر عموميتله مجازي آنلاملار داشيير، عين حالدا آتالار سؤزونده بومسئلهيه چوخ آز ـ آز راست گليريك.	o1	book1
167	بونون باشقا بيرنمونه سي ده واركي دئييرلر.	o1	book1
181	بالام بو حيدر هارادا قالدي، جاماعات پول ييغير، وار دؤولت توپلايير اودا آتالار سؤزوندن1 :	o1	book1
195	ـ سؤزون آخيريني دئي گؤروم، پول وئرييرسن يا يوخ ؟	o1	book1
