NO,Sentence,ID,book_name
12,آتالار سؤزو قهرمانليق، محبت داستانلاريندان توتدو، دده قورقود دونياسيندا دا، بؤيوك رول اويناميشدير.,m6,book1
26,اوخوجولار، تورك و فارس ديللرينه عايد اولان، مثللري توتوشدوروب، اونلارين بنزرليك‌‌لريني سويه، مضمون و آيري- آيري درين‌ليكلريني گؤره‌جك‌لر.,m6,book1
40,من بويازيدا آتالار سؤزونو، اؤز اثرلرينده عكس ائتديرهن سؤزون دوغرو معناسيندا بو بولاقدان سوايچن، تانينميش سؤز اوستادلاريميز تورك ديلينده يازيب، ياراتديقلاري بير نئچه سيندن بحث ائتمكله، كفايتله‌نيرم.,m6,book1
54,ايران توركلرينه عايد اولان بوقيسا جملهلرده بيرنئچه آتالار سؤزونون ايشله‌نيلمه سيني گؤردوكده بو حقيقته گليب چاتيريق كي، بوتشبوث ايستر شعر و ايستر سهده‌نثر اثرلريميز اولسون، اونون انكشافينا، دولغونلوغونا، معنا توتومونا اؤزل اورژينالليق بخش ائدير بو يازييا دقت ائدين:,m6,book1
68,ـ سو ميمونون بوغازينا چيخاندا بالاسيني آياغينين آلتينا آلار.,m6,book1
82,سهند اثرلرينين اساس حيصه سيني ائليميزين مين ايللردن بيزه يادگار قالان سؤز اينجيلرينه حصر ائتميشدير.,m6,book1
96,سؤزوار خسته‌ني ساغالدار، سؤزده وار آدام يارالار.,m6,book1
110,قاچاق نبي، داغلاردا، چؤللرده، خانلارين اربابلارين عليهينه مبارزه آپارديغي اوچون، آيلارلا، ساچ ـ ساققاليني قيخديرا بيلميرميش.,m6,book1
124,گيزير اوغلو مصطفي بگ اونو باسير چايا.,m6,book1
138,آنجاق چاليش کي، بير نئچه قيمتلي سؤز اؤيره‌ن، بير گون درديوه دَيَر.,m6,book1
152,آشاغيداكي مثاللاردان بللي اولوركي، آتالار سؤزوايله دئييلملر آراسيندا، فرق اولدوقجا مؤجودور.,m6,book1
166,ان واجب بير ايش اوچون تله سنده دئييرلر:,m6,book1
180,آتالار سؤزونون بير اوستونلو يوده وارديركي، اودا سؤزه قناعت، اينديكي قناعت لردن يوخ ها، يئرينده واختيندا قناعت.,m6,book1
194,ـ‌ من سندن بير مقدار پول ايسته ييرم سن ده دئيير سن.,m6,book1
208,پادشاه ساغ اولسون اوراسيني اؤزومده بيلميرم، آمما ايسته ميره‌م ديليم ياوا سؤزلره عادت ائله‌سين.,m6,book1
222,بو ساپلار بير- بيرينده‌ن سئچيلمه ديكده آخشامین دوشدويو قارا رينا گلير ويئمه يه باشلايير ديلار.,m6,book1
236,اوْن بئش ياشينا چاتميش بامسي معين شجاعت گؤسترديكده‌ن سونرا آتاسی بای بورا ، دئدی.,m6,book1
250,دئييرلر، گرك جمعی كنده آنادان اوْلان اوَشاقلار بو دفتره يازيلسين.,m6,book1
264,بو عنصرو ظارافاتچيل، بامزه معناسيندا ايشله‌نن سؤزونده تصادوف ائديلير.,m6,book1
278,آما بوسوْن ايفادده ده بير منطق يوخدور، داستانلاریندا وئريلميشدير.,m6,book1
292,قديملر ده باشقالاريندان سئچيلمك اوچون محبوسلارين آلينلاريندا خصوصی دامغا ووروردولار و بو دامغانين يئرينين بيتيشمه‌سی اوچون بورا باريت سورتوردولر.,m6,book1
306,داستانلاردا بو ايفاده بير قده‌ر باشقا شكيلده دير.,m6,book1
320,قديم ديللرده يئرآنلاييشينی بيلديره‌ن سؤز قديم جينسينده ايشله‌ديليردی.,m6,book1
334,تورپاغا اوْنا گؤره دئييرلركی، اوْد آنا محبتلي دير، آنا سخاوتلي دير، اولار جانلي دير».,m6,book1
348,اؤز آرالاريندا سؤز قوْيوبلارميش كی، اگر بونلاردان هانسی بؤيوك بير خدمته چاتسا، اوْبيری قالان كمك ائتمه‌ليدير.,m6,book1
362,آرواد گئديب ارينه شكايت‌له‌نير كی، قازان .,m6,book1
376,قوْخماق حالی اؤدو ياريلماق ايفاده‌سی ايله باغليدير.,m6,book1
390,كيومرث اوْغلو نو يوْلوخماغا گئده‌نده يوْل اوستونه قونوْب تئز- تئز اؤتن بير بايقوشا تصادف ائدير.,m6,book1
404,سان پطرز بورگدا مشهور چای باغيندا ان گؤزل هئيكل‌لرده‌ن بيريده بايقوش هئيكليدير كی، بودا هين قوشون روسيادا مدوروكلوك رمزی حساب ائديرديلر.,m6,book1
418,بو ايفاده حاققيندا سيزه معلومات وئريم بير كيشی بير چوْبانا يوز قويون تاپشيريب بير ايل سوْنرا آلاجاغينی سؤيله‌ميشدی چوبان ايسه قوْيونلارين باشينا داش ساليب آخير‌ينجی قوْيونون دا باشينی كسيب اتينی يئديكده‌ن سوْنرا دريسينی چيينينه ساليب قوْيون صاحيبی‌نين يانينا گئدير.,m6,book1
432,الحد- قبرين ايكی يانيندا، اؤلونون اوستونه داش.,m6,book1
446,-‌جی ميلادي ايلده- محمد پيغمبر آنادان اوْلان ايلی مسيحي حبش‌لر مشهور فيل يوْلو ايله كعبه‌نی داغيتماغا گئديرديلر.,m6,book1
460,قيد ائديلن ايفاده لرين قديم شامانيزمله باغلي اوْلدوغونو گؤسترن نصير رضا يازير:,m6,book1
474,اوْنلار نذيری وئره‌ركن اوچ دفعه باشلارينا دوْلانديريرلاركی، بواوْنلارين قربانليغی اوْلسون، اوْنلاری خسته‌ليكدن‌، هر جور خطا - بلادن قوْروسون».,m6,book1
488,او زاماندان ائله یئنگیم یئي دئيه آتالار سؤزو مئیدانا چیخیر.,m6,book1
502,دلـله‌ك گؤرورکی، بو سیررلی سؤزو بو ساعات بو قویویا تؤکمه‌سه، اوره‌یی پاتلایاجاقدیر.,m6,book1
516,بو منوال ایله وزیر اؤزونو اسکندر پادشاهین یانینا چاتدییر.,m6,book1
530,بو حادثه بیرائل مثلی کیمی آذربایجان جاماعاتی آراسیندا یاییلیب قالدی.,m6,book1
544,او گئجه‌سی یاریسی دوروب اوغورلوق پالتارلارینی گئیینیب، بیر تاجرین ائوینه اوغورلوغا گئتدی.,m6,book1
558,او گؤردو ائوده آرتیق اوتورسا چوخ داریخاجاقدیر، اونا گؤره گلیب داغدا قوجانی تاپدی.,m6,book1
572,اوغلان آتاسی‌نین جاوابینا تعجبله‌نیر و سهوینی بوینونا آلیر.,m6,book1
586,آنجاق مثلریمیزله ایلگیلی ناغیل و یا خود داستان، بعضی واختلار، او۫نون کؤکو یوخ، بلکه‌نه حدده اهمیتلی او۫لدوغوندان سو۫راق وئریر.,m6,book1
600,اونون جاسوسلوغو نتیجه‌سینده حضرتین قوشونو محاصره‌یه دوشدو.,m6,book1
614,نه قده‌ر ایته‌له‌ديسه، آچیلمادی کی، آچیلمادی.,m6,book1
628,لاپ بوش یئره ائوده بیر ائوده اوتوروب، قالمیش‌میشام.,m6,book1
642,اگر دوغوردان گوجون وارسا، آل بوداشی اوووب اؤن کیمی ائله.,m6,book1
656,قارداش یقین کی قوناغیمیز آج دیر.,m6,book1
670,تئز مئشه‌دن بیر آغاج گؤتویو تاپیپ، اؤز یئرینده قویور.,m6,book1
684,او بیر نئچه گون یول گئتدیکدن سونرا، آخیردا گلیب، اؤز ائوینه چاتدی.,m6,book1
698,هر ایکیسی اؤز باشینا اوقده‌ر قالیب، مئشه ده سه‌یریدیلرکی، گل گؤره‌سن.,m6,book1
712,دوه‌سی ایتن آدام، قاییدیب، سوال ئره‌ن آداما جاواب وئریب، دئییر:,m6,book1
726,علسگر نه قده‌ر وار- گل ائدیر اونون جاوابینی - تاپانمیر کی، تاپانمیر.,m6,book1
740,مجلسده‌کیلر، علسگرین جاوابینا ساغ اول دئدیلر.,m6,book1
754,یوخ بونو من ائله‌یه بیلمه‌رم.,m6,book1
768,قوجا اونون پولوندان خبرسیز اولدوغو نو دئدی، آنجاق او قبول ائتمه‌دی کی، ائتمه‌دی.,m6,book1
782,ساللانیب، گلیر احمد ایشله‌دیگی یئره، قاییدیپ دئییر:,m6,book1
796,آی کتخودا او زامان کی، من امام، پیغمبره آند ایچدیم، اینانمادین، آمما بو کیشی بیر دفعه‌ ننه‌سی‌نین گورونا آند ایچمک همن اونا ایناندین، ایندی آی کتخودا نه اولدو، اوندا:,m6,book1
810,بو روایتی هم اوغرو ائله باغیردی، دوغرونون باغری یاریلدی مثلینه ایشله‌درلر، هم ده اؤزو بورجلو اولا- اولا، باشقاسینی بورجلو سالان آداملارادا خطاب دئیه‌رلر.,m6,book1
824,الغرض اکینچی، یولدان کئچن کیشينی راضی سالیب، ائوینه گتیریر.,m6,book1
838,شاه بیرگون باخیر گؤرورکی، ایشلر ایسته‌دیگی کیمی، قاباغا گئتمیر، اونا گؤره وزیر- وکیلی چاغیریر و بو ایشین و اؤلکه‌دن گئده‌ن کاساتلیغین سببینی سوروشور.,m6,book1
852,قوجا باققال نییه آلمیرام بویور گتیر ایچری- دئیه اونو توکانا دعوت ائله‌ییر.,m6,book1
866,سؤزده اوو کیمی بیر شئی‌دیر دره دن اؤتدو دای سنین کی دئییل، بیر قپیه، بیر قیرانا ده‌یمز.,m6,book1
880,بو اولا بیلر،آی دنیزه دوشوب بودا گؤروب.,m6,book1
894,بو قونشو قاییدیر دئییرکی، کیشی‌نین سؤزو بیر اولار.,m6,book1
908,روایته گؤره‌ناصرالدین شاه ایکی گؤزدن شکست اولان بیر شاعیری یاخشی شعرلر یازدیغی اوچون سارایینا دعوت ائتدی.,m6,book1
922,آیلار بیر- بیرینی قویوب، ایللرده بیر- بیرینی عوض ائله‌ییر.,m6,book1
936,او بیرسی ده اکین وسائلینی وئرسین.,m6,book1
